Nom du médicament,Code produit,Effets secondaires
N/A,N/A,['N/A']
N/A,N/A,['N/A']
Nicotine,N/A,['N/A']
Isopropyl Alcohol,N/A,['N/A']
N/A,N/A,['N/A']
N/A,N/A,['N/A']
Dronabinol,N/A,"['6 ADVERSE REACTIONS Most common adverse reactions (≥3%) are: abdominal pain, dizziness, euphoria, nausea, paranoid reaction, somnolence, thinking abnormal and vomiting. (6.1) To report SUSPECTED ADVERSE REACTIONS, contact Ascend Laboratories, LLC at 1-877-ASC-RX01 (1-877-272-7901) or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. 6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. The following serious adverse reactions are described below and elsewhere in the labeling. Neuropsychiatric Adverse Reactions [see Warnings and Precautions (5.1)] Hemodynamic Instability [see Warnings and Precautions (5.2)] Seizures [see Warnings and Precautions (5.3)] Paradoxical Nausea, Vomiting, and Abdominal Pain [see Warnings and Precautions (5.5)] Studies of AIDS-related weight loss included 157 patients receiving dronabinol capsules at a dose of 2.5 mg twice daily and 67 receiving placebo. Studies of nausea and vomiting related to cancer chemotherapy included 317 patients receiving dronabinol capsules and 68 receiving placebo. In the tables below is a summary of the adverse reactions in 474 patients exposed to dronabinol capsules in studies. Studies of different durations were combined by considering the first occurrence of events during the first 28 days. A cannabinoid dose-related “high” (easy laughing, elation and heightened awareness) has been reported by patients receiving dronabinol capsules in both the antiemetic (24%) and the lower dose appetite stimulant clinical trials (8%). The most frequently reported adverse experiences in patients with AIDS during placebo-controlled clinical trials involved the CNS and were reported by 33% of patients receiving dronabinol capsules. About 25% of patients reported a CNS adverse reaction during the first 2 weeks and about 4% reported such a reaction each week for the next 6 weeks thereafter. Common Adverse Reactions The following adverse reactions were reported in clinical trials at an incidence greater than 1%. System Organ Class Adverse Reactions General Asthenia Cardiovascular Palpitations, tachycardia, vasodilation/facial flush Gastrointestinal Abdominal pain*, nausea*, vomiting* Central Nervous System Dizziness*, euphoria*, paranoid reaction*, somnolence*, thinking abnormal*, amnesia, anxiety/nervousness, ataxia, confusion, depersonalization, hallucination * Actual incidence 3% to 10% Less Common Adverse Reactions The following adverse reactions were reported in clinical trials at an incidence less than or equal to 1%. System Organ Class Adverse Reactions General Chills, headache, malaise Cardiovascular Hypotension, conjunctival injection [see Clinical Pharmacology (12.2)] Gastrointestinal Diarrhea, fecal incontinence, anorexia, hepatic enzyme elevation Musculoskeletal Myalgias Central Nervous System Depression, nightmares, speech difficulties, tinnitus Respiratory Cough, rhinitis, sinusitis Skin Flushing, sweating Sensory Vision difficulties 6.2 Postmarketing Experience The following adverse reactions have been identified during post-approval use of dronabinol capsules. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. General disorders and administration site conditions: Fatigue Hypersensitivity reactions: Lip swelling, hives, disseminated rash, oral lesions, skin burning, flushing, throat tightness [see Contraindications (4)] Injury, poisoning and procedural complications: Fall [see Use in Specific Populations (8.5)] Nervous system disorders: Seizures [see Warnings and Precautions (5.3)] , disorientation, movement disorder, loss of consciousness Psychiatric disorders: Delirium, insomnia, panic attack Vascular disorders: Syncope [see Warnings and Precautions (5.2)]']"
N/A,N/A,"['6 ADVERSE REACTIONS The following are discussed in more detail in other sections of the labeling: Anaphylactic reactions [ see Warnings and Precautions ( 5.1 ) ] CDAD [ see Warnings and Precautions ( 5.2 ) ] The most common adverse reactions (> 1%) observed in clinical trials of AMOXICILLIN capsules, tablets or oral suspension were diarrhea, rash, vomiting, and nausea. ( 6.1 ) To report SUSPECTED ADVERSE REACTIONS, contact Dr. Reddy’s Laboratories Inc., at 1-888-375-3784 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. 6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. The most common adverse reactions (> 1%) observed in clinical trials of AMOXICILLIN capsules, tablets or oral suspension were diarrhea, rash, vomiting, and nausea. Triple therapy: The most frequently reported adverse events for patients who received triple therapy (amoxicillin/clarithromycin/ lansoprazole) were diarrhea (7%), headache (6%), and taste perversion (5%). Dual therapy: The most frequently reported adverse events for patients who received double therapy amoxicillin/lansoprazole were diarrhea (8%) and headache (7%). For more information on adverse reactions with clarithromycin or lansoprazole, refer to the Adverse Reactions section of their package inserts. 6.2 Postmarketing or Other Experience In addition to adverse events reported from clinical trials, the following events have been identified during postmarketing use of penicillins. Because they are reported voluntarily from a population of unknown size, estimates of frequency cannot be made. These events have been chosen for inclusion due to a combination of their seriousness, frequency of reporting, or potential causal connection to AMOXICILLIN. Infections and Infestations: Mucocutaneous candidiasis. Gastrointestinal: Black hairy tongue, and hemorrhagic/pseudomembranous colitis. Onset of pseudomembranous colitis symptoms may occur during or after antibacterial treatment [see Warnings and Precautions ( 5.2 )] . Hypersensitivity Reactions: Anaphylaxis [see Warnings and Precautions ( 5.1 )] .Serum sickness–like reactions, erythematous maculopapular rashes, erythema multiforme, Stevens Johnson syndrome, exfoliative dermatitis, toxic epidermal necrolysis, acute generalized exanthematous pustulosis, hypersensitivity vasculitis, and urticaria have been reported . Liver: A moderate rise in AST and/or ALT has been noted, but the significance of this finding is unknown. Hepatic dysfunction including cholestatic jaundice, hepatic cholestasis and acute cytolytic hepatitis have been reported . Renal: Crystalluria has been reported [see Overdosage ( 10 )] . Hemic and Lymphatic Systems: Anemia, including hemolytic anemia, thrombocytopenia, thrombocytopenic purpura, eosinophilia, leukopenia, and agranulocytosis have been reported . These reactions are usually reversible on discontinuation of therapy and are believed to be hypersensitivity phenomena. Central Nervous System: Reversible hyperactivity, agitation, anxiety, insomnia, confusion, convulsions, behavioral changes, and/or dizziness have been reported . Miscellaneous: Tooth discoloration (brown, yellow, or gray staining) has been reported . Most reports occurred in pediatric patients. Discoloration was reduced or eliminated with brushing or dental cleaning in most cases.']"
N/A,N/A,"['ADVERSE REACTIONS Fluid and Electrolyte Disturbances Sodium retention Congestive heart failure in susceptible patients Hypertension Fluid retention Potassium loss Hypokalemic alkalosis Musculoskeletal Muscle weakness Loss of muscle mass Steroid myopathy Osteoporosis Tendon rupture, particularly of the Achilles tendon Vertebral compression fractures Aseptic necrosis of femoral and humeral heads Pathologic fracture of long bones Gastrointestinal Peptic ulcer with possible perforation and hemorrhage Pancreatitis Abdominal distention Ulcerative esophagitis Increases in alanine transaminase (ALT, SGPT), aspartate transaminase (AST, SGOT), and alkaline phosphatase have been observed following corticosteroid treatment. These changes are usually small, not associated with any clinical syndrome and are reversible upon discontinuation. Dermatologic Impaired wound healing Petechiae and ecchymoses May suppress reactions to skin tests Thin fragile skin Facial erythema Increased sweating Neurological Increased intracranial pressure with papilledema (pseudo-tumor cerebri) usually after treatment Convulsions Vertigo Headache Endocrine Development of Cushingoid state Suppression of growth in children Secondary adrenocortical and pituitary unresponsiveness, particularly in times of stress, as in trauma, surgery or illness Menstrual irregularities Decreased carbohydrate tolerance Manifestations of latent diabetes mellitus Increased requirements of insulin or oral hypoglycemic agents in diabetics Ophthalmic Posterior subcapsular cataracts Increased intraocular pressure Glaucoma Exophthalmos Metabolic Negative nitrogen balance due to protein catabolism The following additional reactions have been reported following oral as well as parenteral therapy: Urticaria and other allergic, anaphylactic or hypersensitivity reactions.']"
N/A,N/A,"['ADVERSE REACTIONS Lisinopril has been found to be generally well tolerated in controlled clinical trials involving 1,969 patients with hypertension or heart failure. For the most part, adverse experiences were mild and transient. Hypertension In clinical trials in patients with hypertension treated with lisinopril, discontinuation of therapy due to clinical adverse experiences occurred in 5.7% of patients. The overall frequency of adverse experiences could not be related to total daily dosage within the recommended therapeutic dosage range. For adverse experiences occurring in greater than 1% of patients with hypertension treated with lisinopril or lisinopril plus hydrochlorothiazide in controlled clinical trials, and more frequently with lisinopril and/or lisinopril plus hydrochlorothiazide than placebo, comparative incidence data are listed in the table below: PERCENT OF PATIENTS IN CONTROLLED STUDIES Lisinopril (n = 1349) Incidence (discontinuation) Lisinopril/Hydrochlorothiazide (n = 629) Incidence (discontinuation) Placebo (n = 207) Incidence (discontinuation) Body As A Whole Fatigue2.5 (0.3)4 (0.5)1 (0)Asthenia1.3 (0.5)2.1 (0.2)1 (0)Orthostatic effects1.2 (0)3.5 (0.2)1 (0) Cardiovascular Hypotension1.2 (0.5)1.6 (0.5)0.5 (0.5) Digestive Diarrhea2.7 (0.2)2.7 (0.3)2.4 (0)Nausea2 (0.4)2.5 (0.2)2.4 (0)Vomiting1.1 (0.2)1.4 (0.1)0.5 (0)Dyspepsia0.9 (0)1.9 (0)0 (0) Musculoskeletal Muscle cramps0.5 (0)2.9 (0.8)0.5 (0) Nervous/Psychiatric Headache5.7 (0.2)4.5 (0.5)1.9 (0)Dizziness5.4 (0.4)9.2 (1)1.9 (0)Paresthesia0.8 (0.1)2.1 (0.2)0 (0)Decreased libido0.4 (0.1)1.3 (0.1)0 (0)Vertigo0.2 (0.1)1.1 (0.2)0 (0) Respiratory Cough3.5 (0.7)4.6 (0.8)1 (0)Upper respiratoryinfection2.1 (0.1)2.7 (0.1)0 (0)Common cold1.1 (0.1)1.3 (0.1)0 (0)Nasal congestion0.4 (0.1)1.3 (0.1)0 (0)Influenza0.3 (0.1)1.1 (0.1)0 (0) Skin Rash1.3 (0.4)1.6 (0.2)0.5 (0.5) Urogenital Impotence1 (0.4)1.6 (0.5)0 (0) Chest pain and back pain were also seen, but were more common on placebo than lisinopril. Heart Failure In patients with heart failure treated with lisinopril for up to four years, discontinuation of therapy due to clinical adverse experiences occurred in 11% of patients. In controlled studies in patients with heart failure, therapy was discontinued in 8.1% of patients treated with lisinopril for 12 weeks, compared to 7.7% of patients treated with placebo for 12 weeks. The following table lists those adverse experiences which occurred in greater than 1% of patients with heart failure treated with lisinopril or placebo for up to 12 weeks in controlled clinical trials, and more frequently on lisinopril than placebo. CONTROLLED TRIALS Lisinopril (n = 407) Incidence (discontinuation) 12 weeks Placebo (n = 155) Incidence(discontinuation) 12 weeks Body As A Whole Chest pain3.4 (0.2)1.3 (0)Abdominal pain2.2 (0.7)1.9 (0) Cardiovascular Hypotension4.4 (1.7)0.6 (0.6) Digestive Diarrhea3.7 (0.5)1.9 (0) Nervous/Psychiatric Dizziness11.8 (1.2)4.5 (1.3)Headache4.4 (0.2)3.9 (0) Respiratory Upper respiratoryInfection1.5 (0)1.3 (0) Skin Rash1.7 (0.5)0.6 (0.6) Also observed at > 1% with lisinopril but more frequent or as frequent on placebo than lisinopril in controlled trials were asthenia, angina pectoris, nausea, dyspnea, cough, and pruritus. Worsening of heart failure, anorexia, increased salivation, muscle cramps, back pain, myalgia, depression, chest sound abnormalities, and pulmonary edema were also seen in controlled clinical trials, but were more common on placebo than lisinopril. In the two-dose ATLAS trial in heart failure patients, withdrawals due to adverse events were not different between the low and high groups, either in total number of discontinuation (17 to 18%) or in rare specific events (< 1%). The following adverse events, mostly related to ACE inhibition, were reported more commonly in the high dose group: * *NPN = non-protein nitrogen % of Patients Events High Dose (n = 1568) Low Dose (n = 1596) Dizziness Hypotension Creatinine increased Hyperkalemia NPN* *increased Syncope18.9 10.8 9.9 6.4 9.2 712.1 6.7 7 3.5 6.5 5.1 Acute Myocardial Infarction In the GISSI-3 trial, in patients treated with lisinopril for six weeks following acute myocardial infarction, discontinuation of therapy occurred in 17.6% of patients. Patients treated with lisinopril had a significantly higher incidence of hypotension and renal dysfunction compared with patients not taking lisinopril. In the GISSI-3 trial, hypotension (9.7%), renal dysfunction (2%), cough (0.5%), post infarction angina (0.3%), skin rash and generalized edema (0.01%), and angioedema (0.01%) resulted in withdrawal of treatment. In elderly patients treated with lisinopril, discontinuation due to renal dysfunction was 4.2%. Other clinical adverse experiences occurring in 0.3% to 1% of patients with hypertension or heart failure treated with lisinopril in controlled clinical trials and rarer, serious, possibly drug-related events reported in uncontrolled studies or marketing experience are listed below, and within each category, are in order of decreasing severity: Body as a Whole Anaphylactoid reactions (see WARNINGS, Anaphylactoid and Possibly Related Reactions), syncope, orthostatic effects, chest discomfort, pain, pelvic pain, flank pain, edema, facial edema, virus infection, fever, chills, malaise Cardiovascular Cardiac arrest; myocardial infarction or cerebrovascular accident, possibly secondary to excessive hypotension in high-risk patients (see WARNINGS, Hypotension); pulmonary embolsim and infarction, arrhythmias (including ventricular tachycardia, atrial tachycardia, atrial fibillation, bradycardia and premature ventricular contractions), palpitations, transient ischemic attacks, paroxysmal nocturnal dyspnea, orthostatic hypotension, decreased blood pressure, peripheral edema, vasculitis Digestive Pancreatitis, hepatitis (hepatocellular or cholestatic jaundice) (see WARNINGS, Hepatic Failure), vomiting, gastritis, dyspepsia, heartburn, gastrointestinal cramps, constipation, flatulence, dry mouth Hematologic Rare cases of bone marrow depression, hemolytic anemia, leukopenia/neutropenia and thrombocytopenia Endocrine Diabetes mellitus, inappropriate antidiurectic hormone secretion Metabolic Weight loss, dehydration, fluid overload, gout, weight gain Cases of hypoglycemia in diabetic patients on oral antidiabetic agents or insulin have been reported in postmarketing experience (see PRECAUTIONS, Drug Interactions). Musculoskeletal Arthritis, arthralgia, neck pain, hip pain, low back pain, joint pain, leg pain, knee pain, shoulder pain, arm pain, lumbago Nervous System/Psychiatric Stroke, ataxia, memory impairment, tremor, peripheral neuropathy (e.g., dysesthesia), spasm, paresthesia, confusion, insomnia, somnolence, hypersomnia, irritability, nervousness and mood alterations (including depressive symptoms). Respiratory System Malignant lung neoplasms, hemoptysis, pulmonary infiltrates, bronchospasm, asthma, pleural effusion, pneumonia, eosinophilic pneumonitis, bronchitis, wheezing, orthopnea, painful respiration, epistaxis, laryngitis, sinusitis, pharyngeal pain, pharyngitis, rhinitis, rhinorrhea Skin Urticaria, alopecia, herpes zoster, photosensitivity, skin lesions, skin infections, pemphigus, erythema, flusing, diaphoresis, cutaneous pseudolymphoma, psoriasis. Other severe skin reactions have been reported rarely, including toxic epidermal necrolysis and Stevens-Johnson syndrome; causual relationship has not been established. Special Senses Visual loss, diplopia, blurred vision, tinnitus, photophobia, taste disturbances, olfactory disturbance Urogenital System Acute renal failure, oliguria, anuria, uremia, progressive azotemia, renal dysfunction (see PRECAUTIONSand DOSAGE AND ADMINISTRATION), pyelonephritis, dysuria, urinary tract infection, breast pain Miscellaneous A symptom complex has been reported which may include a positive ANA, an elevated erythrocyte sedimentation rate, arthralgia/arthritis, myalgia, fever, vasculitis, eosinophilia and leukocytosis. Rash, photosensitivity or other dermatological manifestations may occur alone or in combination with these symptoms. Angioedema Angioedema has been reported in patients receiving lisinopril with an incidence higher in Black than in non-Black patients. Angioedema associated with laryngeal edema may be fatal. If angioedema of the face, extremities, lips, tongue, glottis and/or larynx occurs, treatment with lisinopril should be discontinued and appropriate therapy instituted immediately (see WARNINGS). In rare cases, intestinal angioedema has been reported in postmarketing experience. Hypotension In hypertensive patients, hypotension occurred in 1.2% and syncope occurred in 0.1% of patients with an incidence higher in Black than in non-Black patients. Hypotension or syncope was a cause of discontinuation of therapy in 0.5% of hypertensive patients. In patients with heart failure, hypotension occurred in 5.3% and syncope occurred in 1.8% of patients. These adverse experiences were possibly dose-related (see above data from ATLAS Trial) and caused discontinuation of therapy in 1.8% of these patients in the symptomatic trials. In patients treated with lisinopril for six weeks after acute myocardial infarction, hypotension (systolic blood pressure100 mmHg) resulted in discontinuation of therapy in 9.7% of the patients (see WARNINGS). Cough PRECAUTIONS, Cough. Pediatric Patients No relevant differences between the adverse experience profile for pediatric patients and that previously reported for adult patients were identified. Clinical Laboratory Test Findings Serum Electrolytes Hyperkalemia (see PRECAUTIONS), hyponatremia p> Creatinine, Blood Urea Nitrogen Minor increases in blood urea nitrogen and serum creatinine, reversible upon discontinuation of therapy, were observed in about 2% of patients with essential hypertension treated with lisinopril alone. Increases were more common in patients receiving concomitant diuretics and in patients with renal artery stenosis (see PRECAUTIONS). Reversible minor increases in blood urea nitrogen and serum creatinine were observed in approximately 11.6% of patients with heart failure on concomitant diuretic therapy. Frequently, these abnormalities resolved when the dosage of the diuretic was decreased. Hemoglobin and Hematocrit Small decreases in hemoglobin and hematocrit (mean decreases of approximately 0.4 G% and 1.3 vol%, respectively) occured frequently in patients treated with lisinopril but were rarely of clinical importance in patients without some other cause of anemia. In clinical trials, less than 0.1% of patients discontinued therapy due to anemia. Hemolytic anemia has been reported; a casual relationship to lisinopril cannot be excluded. Liver Function Tests Rarely, elevations of liver enzymes and/or serum bilirubin have occurred (see WARNINGS, Hepatic Failure). In hypertensive patients, 2% discontinued therapy due to laboratory adverse experiences, principally elevations in blood urea nitrogen (0.6%), serum creatinine (0.5%) and serum potassium (0.4%). In the heart faulure trials, 3.4% of patiens discontinued therapy due to laboratory adverse experience; 1.8% due to elevations in blood ura nitrogen and/or creatinine and 0.6 due to elevations in serum potassium. In the myocardial infarction trial, 2% of patients receiving lisinopril discontinued thereapy due to renal dysfunction (increasing creatinine concentration to over 3 mg/dL or a doubling or more of the baseline serum creatinine concentration); less than 1% of patients discontinued therapy due to other laboratory adverse experiences: 0.1% with hyperkalemia and less than 0.1% with hepatic enzyme alterations.']"
N/A,N/A,"['ADVERSE REACTIONS Adverse systemic reactions usually occur within minutes and consist primarily of allergic symptoms such as: generalized skin erythema, urticaria, pruritus, angioedema, rhinitis, wheezing, laryngeal edema, itching of nose and throat, breathlessness, dyspnea, coughing, hypotension and marked perspiration. Less commonly, nausea, emesis, abdominal cramps, diarrhea and uterine contractions may occur. Severe reactions may cause anaphylaxis or shock and loss of consciousness and rarely death. The treatment of systemic allergic reactions is dependent upon the system complex. Antihistamines may offer relief of recurrent urticaria, associated skin reactions and gastrointestinal symptoms. Corticosteroids may provide benefit if symptoms are prolonged or recurrent. (See Overdose section) Local Reactions consisting of erythema, itching, swelling tenderness and sometimes pain may occur at the injection site. These reactions may appear within a few minutes to hours and persist for several days. Local cold applications and oral antihistamines may be effective treatment. For marked and prolonged local reactions the use of antihistamines or anti-inflammatory medications may be dictated. Serious adverse reactions should be reported to Nelco Laboratories immediately and a report can be filed to: MedWatch, The FDA Medical Product Problem Reporting Program, at 5600 Fishers Lane, Rockville, MD 20852-9787, call 1-800-FDA-1088.']"
N/A,N/A,"['6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Interstitial Nephritis [ see Warnings and Precautions (5.3) ] Cyanocobalamin (vitamin B-12) Deficiency [ see Warnings and Precautions (5.4) ] Clostridium difficile Associated Diarrhea [ see Warnings and Precautions (5.5) ] Bone Fracture [ see Warnings and Precautions (5.6) ] Hypomagnesemia [ see Warnings and Precautions (5.7) ] Most common adverse reactions in adults (>2%) are pain, pharyngitis, flatulence, infection, and constipation ( 6.1 ). Most common adverse reactions in adolescents (≥2%) are headache, diarrhea, nausea, vomiting, and abdominal pain ( 6.1 ). To report SUSPECTED ADVERSE REACTIONS, contact Eisai Inc. at 1-888-274-2378 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch 6.1 Clinical Studies Experience Because clinical trials are conducted under varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. Adults The data described below reflect exposure to ACIPHEX delayed-release tablets in 1064 adult patients exposed for up to 8 weeks. The studies were primarily placebo- and active-controlled trials in adult patients with Erosive or Ulcerative Gastroesophageal Reflux Disease (GERD), Duodenal Ulcers and Gastric Ulcers. The population had a mean age of 53 years (range 18-89 years) and had a ratio of approximately 60% male: 40% female. The racial distribution was 86% Caucasian, 8% African American, 2% Asian, and 5% other. Most patients received either 10 mg, 20 mg or 40 mg per day of ACIPHEX delayed-release tablets. An analysis of adverse reactions appearing in ≥2% of patients treated with ACIPHEX delayed-release tablets (n=1064) and with a greater frequency than placebo (n=89) in controlled North American and European acute treatment trials, revealed the following adverse reactions: pain (3% vs. 1%), pharyngitis (3% vs. 2%), flatulence (3% vs. 1%), infection (2% vs. 1%), and constipation (2% vs. 1%). Three long-term maintenance studies consisted of a total of 740 adult patients; at least 54% of adult patients were exposed to ACIPHEX delayed-release tablets for 6 months and at least 33% were exposed for 12 months. Of the 740 adult patients, 247 (33%) and 241 (33%) patients received 10 mg and 20 mg of ACIPHEX delayed-release tablets, respectively, while 169 (23%) patients received placebo and 83 (11%) received omeprazole. The safety profile of rabeprazole in the maintenance studies in adults was consistent with what was observed in the acute studies. Less common adverse reactions seen in controlled clinical trials (<2% of patients treated with ACIPHEX delayed-release tablets and greater than placebo) and for which there is a possibility of a causal relationship to rabeprazole, include the following: headache, abdominal pain, diarrhea, dry mouth, dizziness, peripheral edema, hepatic enzyme increase, hepatitis, hepatic encephalopathy, myalgia, and arthralgia. Combination Treatment with Amoxicillin and Clarithromycin: In clinical trials using combination therapy with rabeprazole plus amoxicillin and clarithromycin (RAC), no adverse reactions unique to this drug combination were observed. In the U.S. multicenter study, the most frequently reported drug related adverse reactions for patients who received RAC therapy for 7 or 10 days were diarrhea (8% and 7%) and taste perversion (6% and 10%), respectively. No clinically significant laboratory abnormalities particular to the drug combinations were observed. For more information on adverse reactions or laboratory changes with amoxicillin or clarithromycin, refer to their respective prescribing information, Adverse Reactions section. Pediatric s In a multicenter, open-label study of adolescent patients 12 to 16 years of age with a clinical diagnosis of symptomatic GERD or endoscopically proven GERD, the adverse event profile was similar to that of adults. The adverse reactions reported without regard to relationship to ACIPHEX delayed-release tablets that occurred in ≥2% of 111 patients were headache (9.9%), diarrhea (4.5%), nausea (4.5%), vomiting (3.6%), and abdominal pain (3.6%). The related reported adverse reactions that occurred in ≥2% of patients were headache (5.4%) and nausea (1.8%). There were no adverse reactions reported in this study that were not previously observed in adults. 6.2 Postmarketing Experience The following adverse reactions have been identified during post approval use of rabeprazole. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure: sudden death; coma, hyperammonemia; jaundice; rhabdomyolysis; disorientation and delirium; anaphylaxis; angioedema; bullous and other drug eruptions of the skin; severe dermatologic reactions, including toxic epidermal necrolysis (some fatal), Stevens-Johnson syndrome, and erythema multiforme; interstitial pneumonia; interstitial nephritis; TSH elevations; bone fractures; hypomagnesemia and Clostridium diffic i le - associated diarrhea. In addition, agranulocytosis, hemolytic anemia, leukopenia, pancytopenia, and thrombocytopenia have been reported. Increases in prothrombin time/INR in patients treated with concomitant warfarin have been reported.']"
N/A,N/A,"['ADVERSE REACTION S Adverse reaction information concerning Ipratropium Bromide and Albuterol Sulfate Inhalation Solution was derived from the 12-week controlled clinical trial. ADVERSE EVENTS OCCURRING IN > 1% OF > 1 TREATMENT GROUP(S) AND WHERE THE COMBINATION TREATMENT SHOWED THE HIGHEST PERCENTAGE Body System COSTART Term Albuterol n(%) Ipratropium n(%) Ipratropium Bromide and Albuterol Sulphate n(%) NUMBER OF PATEINTS 761 754 765 N(%) Patients with AE 327 (43.0) 329 (43.6) 367 (48.0) BODY AS A WHOLE Pain 8 (1.1) 4 (0.5) 10 (1.3) Pain chest 11 (1.4) 14 (1.9) 20 (2.6) DIGESTIVE Diarrhea 5 (0.7) 9 (1.2) 14 (1.8) Dyspepsia 7 (0.9) 8 (1.1) 10 (1.3) Nausea 7 (0.9) 6 (0.8) 11 (1.4) MUSCULO-SKELETAL Cramps Leg 8 (1.1) 6 (0.8) 11 (1.4) RESPIRATORY Bronchitis 11 (1.4) 13 (1.7) 13 (1.7) Lung Disease 36 (4.7) 34 (4.5) 49 (6.4) Pharyngitis 27 (3.5) 27 (3.6) 34 (4.4) Pneumonia 7 (0.9) 8 (1.1) 10 (1.3) UROGENTIAL Infection urinary tract 3 (0.4) 9 (1.2) 12 (1.6) Additional adverse reactions reported in more than 1% of patients treated with Ipratropium Bromide and Albuterol Sulfate Inhalation Solution included constipation and voice alterations. In the clinical trial, there was a 0.3% incidence of possible allergic-type reactions, including skin rash, pruritis, and urticaria. Additional information derived from the published literature on the use of albuterol sulfate and ipratropium bromide singly or in combination includes precipitation or worsening of narrow-angle glaucoma, acute eye pain, blurred vision, mydriasis, paradoxical bronchospasm, wheezing, exacerbation of COPD symptoms, drowsiness, aching, flushing, upper respiratory tract infection, palpitations, taste perversion, elevated heart rate, sinusitis, back pain, sore throat and metabolic acidosis. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure.']"
N/A,N/A,['N/A']
Fludrocortisone Acetate,N/A,"[""ADVERSE REACTIONS Most adverse reactions are caused by the drug's mineralocorticoid activity (retention of sodium and water) and include hypertension, edema, cardiac enlargement, congestive heart failure, potassium loss, and hypokalemic alkalosis. When fludrocortisone is used in the small dosages recommended, the glucocorticoid side effects often seen with cortisone and its derivatives are not usually a problem; however the following untoward effects should be kept in mind, particularly when fludrocortisone is used over a prolonged period of time or in conjunction with cortisone or a similar glucocorticoid. Musculoskeletal – muscle weakness, steroid myopathy, loss of muscle mass, osteoporosis, vertebral compression fractures, aseptic necrosis of femoral and humeral heads, pathologic fracture of long bones, and spontaneous fractures. Gastrointestinal – peptic ulcer with possible perforation and hemorrhage, pancreatitis, abdominal distention, and ulcerative esophagitis. Dermatologic – impaired wound healing, thin fragile skin, bruising, petechiae and ecchymoses, facial erythema, increased sweating, subcutaneous fat atrophy, purpura, striae, hyperpigmentation of the skin and nails, hirsutism, acneiform eruptions and hives; reactions to skin tests may be suppressed. Neurological – convulsions, increased intracranial pressure with papilledema (psuedo-tumor cerebri) usually after treatment, vertigo, headache, and severe mental disturbances. Endocrine – menstrual irregularities; development of the cushingoid state; suppression of growth in children; secondary adrenocortical and pituitary unresponsiveness, particularly in times of stress (e.g., trauma, surgery, or illness); decreased carbohydrate tolerance; manifestations of latent diabetes mellitus; and increased requirements for insulin or oral hypoglycemic agents in diabetics. Ophthalmic – posterior subcapsular cataracts, increased intraocular pressure, glaucoma, and exophthalmos. Metabolic – hyperglycemia, glycosuria, and negative nitrogen balance due to protein catabolism. Allergic Reactions – allergic skin rash, maculopapular rash, and urticaria. Other adverse reactions that may occur following the administration of a corticosteroid are necrotizing angiitis, thrombophlebitis, aggravation or masking of infections, insomnia, syncopal episodes, and anaphylactoid reactions. To report SUSPECTED ADVERSE REACTIONS, contact Amneal Pharmaceuticals at 1-877-835-5472 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch .""]"
N/A,N/A,['N/A']
